 GET /api/v2/mundial/invoices?invoicePaymentStatus=Paid - - ms PostmanRuntime/7.41.1 Fri, 16 Aug 2024 16:54:07 GMT
 GET /api/v2/mundial/invoices?invoicePaymentStatus=Paid 200 10.677 ms PostmanRuntime/7.41.1 Fri, 16 Aug 2024 16:54:09 GMT
 GET /api/v2/mundial/invoices?invoicePaymentStatus=Unpaid&invoicePaymentStatus=Partially%20Paid 200 15.534 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:53 GMT
 GET /jobs/view 304 61.218 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:55 GMT
 GET /jobs/view 304 96.214 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:55 GMT
 GET /job/nestle-306 200 175.663 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:57 GMT
 GET /job/nestle-306 304 127.995 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:14:57 GMT
 GET /job/nestle-306 304 262.650 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:15:26 GMT
 GET /job/nestle-306 304 154.744 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:15:26 GMT
 GET /payments/view 304 76.120 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:15:29 GMT
 GET /payments/view 304 122.189 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:15:29 GMT
 GET /payment/dd8b3bfd-7582-4377-8620-2ed069a10235 200 86.351 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:15:32 GMT
 GET /payment/dd8b3bfd-7582-4377-8620-2ed069a10235 304 169.138 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:15:32 GMT
 GET /api/v2/mundial/invoices?invoicePaymentStatus=Unpaid&invoicePaymentStatus=Partially%20Paid 304 21.500 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:15:32 GMT
 GET /payment/dd8b3bfd-7582-4377-8620-2ed069a10235 200 90.968 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:15:49 GMT
 GET /payment/dd8b3bfd-7582-4377-8620-2ed069a10235 304 116.889 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:15:49 GMT
 GET /api/v2/mundial/invoices?invoicePaymentStatus=Unpaid&invoicePaymentStatus=Partially%20Paid 304 14.897 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:15:49 GMT
 GET /job/create 304 62.116 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:15:57 GMT
 GET /job/create 304 89.924 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:15:57 GMT
 POST /api/v2/mundial/jobs 400 14.820 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:15:59 GMT - error-message: A Job must must contain an ID
 POST /api/v2/mundial/jobs 400 2.052 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0 Fri, 16 Aug 2024 17:16:05 GMT - error-message: A Job must must contain an ID
 GET /api/v2/mundial/invoices?invoicePaymentStatus=Paid 200 5.881 ms PostmanRuntime/7.41.1 Fri, 16 Aug 2024 17:16:20 GMT
